GEO_ID,Geographic Area Name,Estimate!!Households!!Total,Margin of Error!!Households!!Total,Annotation of Margin of Error!!Households!!Total,Annotation of Estimate!!Households!!Total,"Estimate!!Households!!Total!!Less than $10,000","Margin of Error!!Households!!Total!!Less than $10,000","Annotation of Margin of Error!!Households!!Total!!Less than $10,000","Annotation of Estimate!!Households!!Total!!Less than $10,000","Estimate!!Households!!Total!!$10,000 to $14,999","Margin of Error!!Households!!Total!!$10,000 to $14,999","Annotation of Margin of Error!!Households!!Total!!$10,000 to $14,999","Annotation of Estimate!!Households!!Total!!$10,000 to $14,999","Estimate!!Households!!Total!!$15,000 to $24,999","Margin of Error!!Households!!Total!!$15,000 to $24,999","Annotation of Margin of Error!!Households!!Total!!$15,000 to $24,999","Annotation of Estimate!!Households!!Total!!$15,000 to $24,999","Estimate!!Households!!Total!!$25,000 to $34,999","Annotation of Estimate!!Households!!Total!!$25,000 to $34,999","Margin of Error!!Households!!Total!!$25,000 to $34,999","Annotation of Margin of Error!!Households!!Total!!$25,000 to $34,999","Estimate!!Households!!Total!!$35,000 to $49,999","Margin of Error!!Households!!Total!!$35,000 to $49,999","Annotation of Margin of Error!!Households!!Total!!$35,000 to $49,999","Annotation of Estimate!!Households!!Total!!$35,000 to $49,999","Estimate!!Households!!Total!!$50,000 to $74,999","Margin of Error!!Households!!Total!!$50,000 to $74,999","Annotation of Margin of Error!!Households!!Total!!$50,000 to $74,999","Annotation of Estimate!!Households!!Total!!$50,000 to $74,999","Estimate!!Households!!Total!!$75,000 to $99,999","Margin of Error!!Households!!Total!!$75,000 to $99,999","Annotation of Margin of Error!!Households!!Total!!$75,000 to $99,999","Annotation of Estimate!!Households!!Total!!$75,000 to $99,999","Estimate!!Households!!Total!!$100,000 to $149,999","Annotation of Estimate!!Households!!Total!!$100,000 to $149,999","Margin of Error!!Households!!Total!!$100,000 to $149,999","Annotation of Margin of Error!!Households!!Total!!$100,000 to $149,999","Estimate!!Households!!Total!!$150,000 to $199,999","Annotation of Estimate!!Households!!Total!!$150,000 to $199,999","Margin of Error!!Households!!Total!!$150,000 to $199,999","Annotation of Margin of Error!!Households!!Total!!$150,000 to $199,999","Estimate!!Households!!Total!!$200,000 or more","Annotation of Estimate!!Households!!Total!!$200,000 or more","Margin of Error!!Households!!Total!!$200,000 or more","Annotation of Margin of Error!!Households!!Total!!$200,000 or more",Estimate!!Households!!Median income (dollars),Annotation of Estimate!!Households!!Median income (dollars),Margin of Error!!Households!!Median income (dollars),Annotation of Margin of Error!!Households!!Median income (dollars),Estimate!!Households!!Mean income (dollars),,"Number of households less than $50,000"
Geography,Beaverhead County,3984,145,null,null,6.9,3,null,null,10.3,3.7,null,null,8.2,2.4,null,null,9,null,2.2,null,14.4,3.5,null,null,18.1,3.6,null,null,12.1,2.7,null,null,12.3,null,3.1,null,4.1,null,1.6,null,4.7,null,2,null,51048,null,3647,null,68713,,48.8
0500000US30001,Big Horn County,3534,141,null,null,5,1.9,null,null,6.9,2.8,null,null,15.2,3.7,null,null,8.7,null,2.7,null,14.7,2.8,null,null,18.7,3.4,null,null,12.2,3.3,null,null,12,null,2.8,null,3.8,null,1.8,null,2.8,null,1.3,null,49640,null,3388,null,63992,,50.5
0500000US30003,Blaine County,2248,101,null,null,10.9,2.7,null,null,7,2.3,null,null,12.3,3.2,null,null,9.6,null,3.2,null,9.3,2.9,null,null,23,4.4,null,null,8.7,2.5,null,null,11.4,null,2.9,null,6.3,null,2,null,1.6,null,1.1,null,50847,null,6650,null,60710,,49.1
0500000US30005,Broadwater County,2757,127,null,null,4.4,2.7,null,null,1.5,1.3,null,null,9.2,3.8,null,null,15.9,null,5.7,null,11.2,2.9,null,null,23.7,6.2,null,null,11.2,3.9,null,null,16.3,null,4.5,null,3.8,null,2.2,null,2.7,null,2.1,null,60244,null,7306,null,75566,,42.2
0500000US30007,Carbon County,4512,187,null,null,3.5,1.4,null,null,5.1,1.7,null,null,9.6,2.4,null,null,11.4,null,2.7,null,9.6,2,null,null,18.8,3.1,null,null,18,2.9,null,null,12.6,null,2.3,null,5.3,null,1.7,null,6,null,2.3,null,63178,null,4261,null,81701,,39.2
0500000US30009,Carter County,618,60,null,null,3.4,2.4,null,null,7.8,4.6,null,null,17.8,6.1,null,null,14.9,null,6.7,null,14.9,4.7,null,null,14.6,4.6,null,null,13.6,4.6,null,null,6,null,3.6,null,2.3,null,1.9,null,4.9,null,3.1,null,41447,null,4097,null,59649,,58.8
0500000US30011,Cascade County,34194,440,null,null,5.7,0.8,null,null,5.4,0.8,null,null,9,1,null,null,10,null,1.1,null,14.9,1.2,null,null,18.8,1.4,null,null,13.4,1.3,null,null,13.9,null,1.3,null,5.2,null,1,null,3.7,null,0.6,null,56377,null,2240,null,73695,,45
0500000US30013,Chouteau County,2201,92,null,null,4.8,1.6,null,null,6.5,2,null,null,9.5,2.1,null,null,11.3,null,3.1,null,19.2,3.9,null,null,18.2,2.8,null,null,11.1,2.4,null,null,12.5,null,3.5,null,5.4,null,2.1,null,1.6,null,0.8,null,48237,null,4368,null,66020,,51.3
0500000US30015,Custer County,4872,161,null,null,5.8,1.7,null,null,5.9,1.9,null,null,7,1.8,null,null,9.6,null,2.2,null,17.5,2.8,null,null,14.2,2.5,null,null,12.4,2.6,null,null,18.3,null,2.9,null,6.5,null,1.4,null,2.9,null,1,null,55426,null,5494,null,75693,,45.8
0500000US30017,Daniels County,784,70,null,null,3.2,2.2,null,null,3.3,2.1,null,null,12,4.5,null,null,14.4,null,5.8,null,15.3,6.1,null,null,18.9,4.9,null,null,14,4.6,null,null,12.9,null,3.6,null,2.9,null,1.5,null,3.1,null,2.3,null,54722,null,13378,null,67748,,48.2
0500000US30019,Dawson County,3893,175,null,null,3.4,2.4,null,null,5.5,3.5,null,null,4.6,1.9,null,null,15.3,null,5.2,null,14,4.8,null,null,22.4,4.6,null,null,13.2,4,null,null,13.4,null,3.6,null,4.9,null,2.3,null,3.2,null,2.1,null,57684,null,10046,null,71547,,42.8
0500000US30021,Deer Lodge County,4161,268,null,null,10.2,4.6,null,null,6.6,2.3,null,null,10.4,3.4,null,null,10.8,null,2.9,null,17.1,3.9,null,null,18.6,3.9,null,null,10,2.9,null,null,11,null,2.7,null,2,null,1.2,null,3.2,null,1.5,null,44809,null,3405,null,59444,,55.1
0500000US30023,Fallon County,1184,98,null,null,6.7,4.1,null,null,5.8,3.5,null,null,7.3,4.4,null,null,6.3,null,3.3,null,5.4,3.6,null,null,12.2,4.7,null,null,12.2,5.3,null,null,29.3,null,7.5,null,5.2,null,2.5,null,9.7,null,3.8,null,83750,null,19941,null,102480,,31.5
0500000US30025,Fergus County,5208,153,null,null,6.6,2.5,null,null,4.3,1.8,null,null,10.6,2.8,null,null,12,null,3.2,null,13.7,3.4,null,null,20.9,4.5,null,null,14.9,3.4,null,null,9.6,null,3.2,null,4,null,1.8,null,3.4,null,1.5,null,52941,null,5447,null,66583,,47.2
0500000US30027,Flathead County,40780,545,null,null,3.8,0.8,null,null,3.3,0.7,null,null,8.8,1.1,null,null,10.9,null,1.4,null,12.9,1.4,null,null,19.9,1.5,null,null,14,1.3,null,null,13.8,null,1.3,null,6.9,null,0.8,null,5.7,null,0.8,null,63582,null,2226,null,84557,,39.7
0500000US30029,Gallatin County,46378,1692,null,null,4.3,0.9,null,null,3,0.7,null,null,6.2,0.9,null,null,8.1,null,1.1,null,9.2,0.8,null,null,18.6,1.6,null,null,14.5,1.5,null,null,17.7,null,1.3,null,8.8,null,1.2,null,9.7,null,1.1,null,76208,null,2868,null,104611,,30.8
0500000US30031,Garfield County,404,52,null,null,4.5,3,null,null,6.4,3.5,null,null,7.9,4.9,null,null,15.8,null,6.4,null,11.4,4.1,null,null,13.6,5.7,null,null,18.1,8.6,null,null,9.2,null,4.9,null,6.4,null,3.7,null,6.7,null,3.7,null,55000,null,12622,null,76329,,46
0500000US30033,Glacier County,4005,177,null,null,9.8,2,null,null,12,2.6,null,null,10.4,2.7,null,null,11.7,null,3.4,null,16.5,3.6,null,null,15.3,3.1,null,null,6.4,2.2,null,null,10.4,null,2.7,null,4.2,null,2,null,3.4,null,1.7,null,39441,null,4007,null,58647,,60.4
0500000US30035,Golden Valley County,349,47,null,null,6.9,4.3,null,null,6.9,4.5,null,null,11.2,3.8,null,null,14.9,null,5.5,null,11.7,3.3,null,null,24.1,5.1,null,null,13.2,4.9,null,null,6.6,null,3.1,null,1.4,null,1.1,null,3.2,null,1.9,null,46607,null,8227,null,59021,,51.6
0500000US30037,Granite County,1337,128,null,null,5.5,3,null,null,4.1,2.4,null,null,7.7,3,null,null,16.3,null,5.6,null,17.6,5.3,null,null,18.2,5.1,null,null,12.4,3.7,null,null,9.3,null,3.2,null,3.4,null,2.3,null,5.6,null,3,null,49077,null,5457,null,78794,,51.2
0500000US30039,Hill County,6243,164,null,null,5.6,1.8,null,null,4.9,1.6,null,null,8.4,2.1,null,null,13.1,null,2.3,null,11.7,2.2,null,null,19,2.7,null,null,15.8,2.8,null,null,15.6,null,2.5,null,4.1,null,1.4,null,1.7,null,0.8,null,56840,null,4786,null,66253,,43.7
0500000US30041,Jefferson County,4604,150,null,null,3.6,1.6,null,null,2,1,null,null,7.3,1.8,null,null,9,null,2.3,null,11.1,2.7,null,null,19.2,3.7,null,null,13.2,2.5,null,null,18.3,null,3.3,null,9.8,null,2.1,null,6.5,null,1.7,null,72500,null,10653,null,92497,,33
0500000US30043,Judith Basin County,879,63,null,null,12.1,5.4,null,null,7.1,3.6,null,null,7.8,2.8,null,null,11.5,null,3.3,null,10.2,3.4,null,null,16,3.6,null,null,13.8,4,null,null,8.2,null,2.7,null,2.5,null,1.7,null,10.8,null,6.4,null,51691,null,11743,null,74560,,48.7
0500000US30045,Lake County,11756,255,null,null,8.4,1.4,null,null,6.3,1.1,null,null,9,1.3,null,null,12.1,null,1.7,null,10.8,1.5,null,null,20.2,1.9,null,null,11.1,1.8,null,null,12.8,null,1.7,null,5.1,null,1.1,null,4.2,null,1,null,53154,null,3343,null,72873,,46.6
0500000US30047,Lewis and Clark County,30011,376,null,null,3.1,0.8,null,null,3.1,0.7,null,null,8.6,1.1,null,null,9.7,null,1.3,null,13,1.6,null,null,18.2,1.6,null,null,13.4,1.1,null,null,17.5,null,1.4,null,7.3,null,1.1,null,6,null,1.1,null,66486,null,2656,null,87691,,37.5
0500000US30049,Liberty County,765,79,null,null,10.6,6.1,null,null,1.8,1.3,null,null,10.3,4.4,null,null,6.7,null,2.6,null,24.2,7,null,null,14.2,5.7,null,null,9.7,4.2,null,null,14,null,5.9,null,2.1,null,1.8,null,6.4,null,4.1,null,46507,null,5988,null,76274,,53.6
0500000US30051,Lincoln County,8458,309,null,null,6.8,1.7,null,null,5.9,1.9,null,null,15.9,2.6,null,null,13.6,null,3.1,null,14.8,2.7,null,null,13.9,2.3,null,null,11.2,2.7,null,null,13.1,null,2.8,null,2.8,null,1.3,null,2.1,null,0.9,null,41922,null,3180,null,60483,,57
0500000US30053,McCone County,829,84,null,null,3.3,2.3,null,null,2.7,1.9,null,null,5.3,2.2,null,null,19.1,null,7.2,null,10.1,3.8,null,null,16.6,4.1,null,null,15,4.6,null,null,20.7,null,6,null,3.6,null,2.4,null,3.6,null,2.6,null,63365,null,12173,null,75722,,40.5
0500000US30055,Madison County,3480,212,null,null,3.7,1.5,null,null,3,1.6,null,null,9.1,2.5,null,null,9.9,null,2.6,null,19.1,4.1,null,null,22.8,3.6,null,null,11.9,3.2,null,null,13.4,null,2.9,null,2.9,null,1.3,null,4.3,null,1.5,null,56410,null,5367,null,72176,,44.8
0500000US30057,Meagher County,819,82,null,null,7.8,8.1,null,null,9.5,7.5,null,null,3.7,3.1,null,null,9.2,null,5,null,15.8,6,null,null,23.8,9.1,null,null,6.5,4.2,null,null,19,null,6.4,null,1.7,null,1.7,null,3.1,null,2.5,null,51709,null,6594,null,64486,,46
0500000US30059,Mineral County,1981,97,null,null,4.1,1.9,null,null,6.8,3,null,null,9,3.4,null,null,9.9,null,2.8,null,19.4,4.7,null,null,22.9,4.6,null,null,7.2,2.1,null,null,9.7,null,3.1,null,8.7,null,5.7,null,2.2,null,1.9,null,50750,null,6333,null,65761,,49.2
0500000US30061,Missoula County,49437,681,null,null,5.1,0.8,null,null,5.4,0.9,null,null,8.2,1,null,null,9.4,null,1.2,null,13.6,1.4,null,null,18.2,1.4,null,null,12.8,1.1,null,null,15.2,null,1.3,null,5.9,null,0.7,null,6.3,null,0.9,null,61423,null,2067,null,85169,,41.7
0500000US30063,Musselshell County,2179,156,null,null,4.5,2.5,null,null,4.1,1.7,null,null,13.7,4.2,null,null,12.6,null,3.8,null,13.1,3.6,null,null,24.4,4.3,null,null,8,3.1,null,null,12.4,null,4.1,null,3.4,null,1.9,null,3.6,null,1.9,null,51153,null,3276,null,69407,,48
0500000US30065,Park County,7920,226,null,null,6.6,1.7,null,null,4.1,1.5,null,null,5.7,1.8,null,null,11.2,null,2.5,null,14.3,2.7,null,null,19.3,3,null,null,12.8,2.5,null,null,15.9,null,2.4,null,5.6,null,1.4,null,4.5,null,1.6,null,58510,null,5069,null,80705,,41.9
0500000US30067,Petroleum County,195,43,null,null,0.5,1.4,null,null,5.6,3.9,null,null,15.9,10.7,null,null,12.3,null,6.6,null,11.8,6.4,null,null,13.8,6,null,null,13.8,9.3,null,null,18.5,null,11.4,null,2.6,null,2.6,null,5.1,null,5.1,null,54375,null,23010,null,71143,,46.1
0500000US30069,Phillips County,1732,97,null,null,6.1,3,null,null,4.9,2.7,null,null,9.2,3.7,null,null,10.5,null,3.6,null,18.6,6.1,null,null,22.3,6,null,null,11.3,4,null,null,12.2,null,4.2,null,2.5,null,2.1,null,2.3,null,1.7,null,50789,null,9022,null,64119,,49.3
0500000US30071,Pondera County,2188,109,null,null,4.6,1.6,null,null,3.1,1.5,null,null,9.2,2.7,null,null,11.6,null,3.5,null,15.8,3.8,null,null,17.5,3.2,null,null,13.8,3.1,null,null,12.8,null,2.6,null,7.6,null,3,null,3.9,null,2.2,null,55865,null,4811,null,76335,,44.3
0500000US30073,Powder River County,758,77,null,null,4.5,2.7,null,null,6.3,3,null,null,10.7,4.6,null,null,9.4,null,3.7,null,13.2,4.5,null,null,20.8,5.1,null,null,10.8,4.7,null,null,15.2,null,5,null,2.9,null,1.9,null,6.2,null,4.6,null,55833,null,7946,null,76511,,44.1
