Year,State,County_case,County,Data Item,Domain,Domain Category,Value,Value Numerical
2017,ILLINOIS,Logan,LOGAN,PUMPKINS - ACRES HARVESTED,TOTAL,NOT SPECIFIED, (D),0
2017,ILLINOIS,Macon,MACON,PUMPKINS - ACRES HARVESTED,TOTAL,NOT SPECIFIED, (D),0
2017,ILLINOIS,Marshall,MARSHALL,PUMPKINS - ACRES HARVESTED,TOTAL,NOT SPECIFIED,65,65
2017,ILLINOIS,Mason,MASON,PUMPKINS - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"4,308",4308
2017,ILLINOIS,McLean,MCLEAN,PUMPKINS - ACRES HARVESTED,TOTAL,NOT SPECIFIED,20,20
2017,ILLINOIS,Menard,MENARD,PUMPKINS - ACRES HARVESTED,TOTAL,NOT SPECIFIED, (D),0
2017,ILLINOIS,Peoria,PEORIA,PUMPKINS - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"1,281",1281
2017,ILLINOIS,Stark,STARK,PUMPKINS - ACRES HARVESTED,TOTAL,NOT SPECIFIED,800,800
2017,ILLINOIS,Tazewell,TAZEWELL,PUMPKINS - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"3,757",3757
2017,ILLINOIS,Woodford,WOODFORD,PUMPKINS - ACRES HARVESTED,TOTAL,NOT SPECIFIED,566,566
2017,ILLINOIS,Champaign,CHAMPAIGN,PUMPKINS - ACRES HARVESTED,TOTAL,NOT SPECIFIED,114,114
2017,ILLINOIS,Iroquois,IROQUOIS,PUMPKINS - ACRES HARVESTED,TOTAL,NOT SPECIFIED, (Z),0
2017,ILLINOIS,Kanakee,KANKAKEE,PUMPKINS - ACRES HARVESTED,TOTAL,NOT SPECIFIED,121,121
2017,ILLINOIS,Livingston,LIVINGSTON,PUMPKINS - ACRES HARVESTED,TOTAL,NOT SPECIFIED, (D),0
2017,ILLINOIS,Vermilion,VERMILION,PUMPKINS - ACRES HARVESTED,TOTAL,NOT SPECIFIED, (D),0
2017,ILLINOIS,Clark,CLARK,PUMPKINS - ACRES HARVESTED,TOTAL,NOT SPECIFIED, (D),0
2017,ILLINOIS,Clay,CLAY,PUMPKINS - ACRES HARVESTED,TOTAL,NOT SPECIFIED, (D),0
2017,ILLINOIS,Coles,COLES,PUMPKINS - ACRES HARVESTED,TOTAL,NOT SPECIFIED, (D),0
2017,ILLINOIS,Cumberland,CUMBERLAND,PUMPKINS - ACRES HARVESTED,TOTAL,NOT SPECIFIED, (D),0
2017,ILLINOIS,Douglas,DOUGLAS,PUMPKINS - ACRES HARVESTED,TOTAL,NOT SPECIFIED,6,6
2017,ILLINOIS,Edgar,EDGAR,PUMPKINS - ACRES HARVESTED,TOTAL,NOT SPECIFIED, (D),0
2017,ILLINOIS,Fayette,FAYETTE,PUMPKINS - ACRES HARVESTED,TOTAL,NOT SPECIFIED,40,40
2017,ILLINOIS,Lawrence,LAWRENCE,PUMPKINS - ACRES HARVESTED,TOTAL,NOT SPECIFIED, (D),0
2017,ILLINOIS,Marion,MARION,PUMPKINS - ACRES HARVESTED,TOTAL,NOT SPECIFIED, (D),0
2017,ILLINOIS,Moultrie,MOULTRIE,PUMPKINS - ACRES HARVESTED,TOTAL,NOT SPECIFIED,759,759
2017,ILLINOIS,Richland,RICHLAND,PUMPKINS - ACRES HARVESTED,TOTAL,NOT SPECIFIED, (D),0
2017,ILLINOIS,Shelby,SHELBY,PUMPKINS - ACRES HARVESTED,TOTAL,NOT SPECIFIED,11,11
2017,ILLINOIS,Boone,BOONE,PUMPKINS - ACRES HARVESTED,TOTAL,NOT SPECIFIED,26,26
2017,ILLINOIS,Cook,COOK,PUMPKINS - ACRES HARVESTED,TOTAL,NOT SPECIFIED,43,43
2017,ILLINOIS,DeKalb,DE KALB,PUMPKINS - ACRES HARVESTED,TOTAL,NOT SPECIFIED,74,74
2017,ILLINOIS,DuPage,DU PAGE,PUMPKINS - ACRES HARVESTED,TOTAL,NOT SPECIFIED,7,7
2017,ILLINOIS,Grundy,GRUNDY,PUMPKINS - ACRES HARVESTED,TOTAL,NOT SPECIFIED,44,44
2017,ILLINOIS,Kane,KANE,PUMPKINS - ACRES HARVESTED,TOTAL,NOT SPECIFIED,149,149
2017,ILLINOIS,Kendall,KENDALL,PUMPKINS - ACRES HARVESTED,TOTAL,NOT SPECIFIED,55,55
2017,ILLINOIS,LaSalle,LA SALLE,PUMPKINS - ACRES HARVESTED,TOTAL,NOT SPECIFIED,125,125
2017,ILLINOIS,Lake,LAKE,PUMPKINS - ACRES HARVESTED,TOTAL,NOT SPECIFIED,43,43
2017,ILLINOIS,McHenry,MCHENRY,PUMPKINS - ACRES HARVESTED,TOTAL,NOT SPECIFIED,122,122
2017,ILLINOIS,Will,WILL,PUMPKINS - ACRES HARVESTED,TOTAL,NOT SPECIFIED,94,94
2017,ILLINOIS,Bureau,BUREAU,PUMPKINS - ACRES HARVESTED,TOTAL,NOT SPECIFIED, (D),0
2017,ILLINOIS,Carroll,CARROLL,PUMPKINS - ACRES HARVESTED,TOTAL,NOT SPECIFIED, (D),0
2017,ILLINOIS,Henry,HENRY,PUMPKINS - ACRES HARVESTED,TOTAL,NOT SPECIFIED,124,124
2017,ILLINOIS,Jo Daviess,JO DAVIESS,PUMPKINS - ACRES HARVESTED,TOTAL,NOT SPECIFIED, (D),0
2017,ILLINOIS,Lee,LEE,PUMPKINS - ACRES HARVESTED,TOTAL,NOT SPECIFIED,4,4
2017,ILLINOIS,Mercer,MERCER,PUMPKINS - ACRES HARVESTED,TOTAL,NOT SPECIFIED, (D),0
2017,ILLINOIS,Ogle,OGLE,PUMPKINS - ACRES HARVESTED,TOTAL,NOT SPECIFIED,16,16
2017,ILLINOIS,Putnam,PUTNAM,PUMPKINS - ACRES HARVESTED,TOTAL,NOT SPECIFIED, (D),0
2017,ILLINOIS,Rock Island,ROCK ISLAND,PUMPKINS - ACRES HARVESTED,TOTAL,NOT SPECIFIED,41,41
2017,ILLINOIS,Stephenson,STEPHENSON,PUMPKINS - ACRES HARVESTED,TOTAL,NOT SPECIFIED,5,5
2017,ILLINOIS,Whiteside,WHITESIDE,PUMPKINS - ACRES HARVESTED,TOTAL,NOT SPECIFIED, (D),0
2017,ILLINOIS,Winnebago,WINNEBAGO,PUMPKINS - ACRES HARVESTED,TOTAL,NOT SPECIFIED,32,32
2017,ILLINOIS,Franklin,FRANKLIN,PUMPKINS - ACRES HARVESTED,TOTAL,NOT SPECIFIED,4,4
2017,ILLINOIS,Jefferson,JEFFERSON,PUMPKINS - ACRES HARVESTED,TOTAL,NOT SPECIFIED,99,99
2017,ILLINOIS,Massac,MASSAC,PUMPKINS - ACRES HARVESTED,TOTAL,NOT SPECIFIED, (D),0
2017,ILLINOIS,Pope,POPE,PUMPKINS - ACRES HARVESTED,TOTAL,NOT SPECIFIED,1,1
2017,ILLINOIS,Wabash,WABASH,PUMPKINS - ACRES HARVESTED,TOTAL,NOT SPECIFIED, (D),0
2017,ILLINOIS,Wayne,WAYNE,PUMPKINS - ACRES HARVESTED,TOTAL,NOT SPECIFIED, (D),0
2017,ILLINOIS,White,WHITE,PUMPKINS - ACRES HARVESTED,TOTAL,NOT SPECIFIED, (D),0
2017,ILLINOIS,Jackson,JACKSON,PUMPKINS - ACRES HARVESTED,TOTAL,NOT SPECIFIED,10,10
2017,ILLINOIS,Monroe,MONROE,PUMPKINS - ACRES HARVESTED,TOTAL,NOT SPECIFIED,33,33
2017,ILLINOIS,Perry,PERRY,PUMPKINS - ACRES HARVESTED,TOTAL,NOT SPECIFIED, (D),0
2017,ILLINOIS,Randolph,RANDOLPH,PUMPKINS - ACRES HARVESTED,TOTAL,NOT SPECIFIED,4,4
2017,ILLINOIS,St.Clair,ST CLAIR,PUMPKINS - ACRES HARVESTED,TOTAL,NOT SPECIFIED,91,91
2017,ILLINOIS,Union,UNION,PUMPKINS - ACRES HARVESTED,TOTAL,NOT SPECIFIED,14,14
2017,ILLINOIS,Washington,WASHINGTON,PUMPKINS - ACRES HARVESTED,TOTAL,NOT SPECIFIED, (D),0
2017,ILLINOIS,Williamson,WILLIAMSON,PUMPKINS - ACRES HARVESTED,TOTAL,NOT SPECIFIED,25,25
2017,ILLINOIS,Adams,ADAMS,PUMPKINS - ACRES HARVESTED,TOTAL,NOT SPECIFIED,15,15
2017,ILLINOIS,Brown,BROWN,PUMPKINS - ACRES HARVESTED,TOTAL,NOT SPECIFIED, (D),0
2017,ILLINOIS,Fulton,FULTON,PUMPKINS - ACRES HARVESTED,TOTAL,NOT SPECIFIED, (D),0
2017,ILLINOIS,Henderson,HENDERSON,PUMPKINS - ACRES HARVESTED,TOTAL,NOT SPECIFIED, (D),0
2017,ILLINOIS,Knox,KNOX,PUMPKINS - ACRES HARVESTED,TOTAL,NOT SPECIFIED, (D),0
2017,ILLINOIS,McDonough,MCDONOUGH,PUMPKINS - ACRES HARVESTED,TOTAL,NOT SPECIFIED,6,6
2017,ILLINOIS,Schuyler,SCHUYLER,PUMPKINS - ACRES HARVESTED,TOTAL,NOT SPECIFIED, (D),0
2017,ILLINOIS,Bond,BOND,PUMPKINS - ACRES HARVESTED,TOTAL,NOT SPECIFIED, (D),0
2017,ILLINOIS,Calhoun,CALHOUN,PUMPKINS - ACRES HARVESTED,TOTAL,NOT SPECIFIED, (D),0
2017,ILLINOIS,Cass,CASS,PUMPKINS - ACRES HARVESTED,TOTAL,NOT SPECIFIED, (D),0
