Year,State ANSI,County_case,County,County ANSI,Data Item,Value,Value Numerical
2017,17,Logan,LOGAN,107,PUMPKINS - ACRES HARVESTED,1,1
2017,17,Macon,MACON,115,PUMPKINS - ACRES HARVESTED,1,1
2017,17,Marshall,MARSHALL,123,PUMPKINS - ACRES HARVESTED,65,65
2017,17,Mason,MASON,125,PUMPKINS - ACRES HARVESTED,"4,308",4308
2017,17,McLean,MCLEAN,113,PUMPKINS - ACRES HARVESTED,20,20
2017,17,Menard,MENARD,129,PUMPKINS - ACRES HARVESTED,1,1
2017,17,Peoria,PEORIA,143,PUMPKINS - ACRES HARVESTED,"1,281",1281
2017,17,Stark,STARK,175,PUMPKINS - ACRES HARVESTED,800,800
2017,17,Tazewell,TAZEWELL,179,PUMPKINS - ACRES HARVESTED,"3,757",3757
2017,17,Woodford,WOODFORD,203,PUMPKINS - ACRES HARVESTED,566,566
2017,17,Champaign,CHAMPAIGN,019,PUMPKINS - ACRES HARVESTED,114,114
2017,17,Iroquois,IROQUOIS,075,PUMPKINS - ACRES HARVESTED,1,1
2017,17,Kanakee,KANKAKEE,091,PUMPKINS - ACRES HARVESTED,121,121
2017,17,Livingston,LIVINGSTON,105,PUMPKINS - ACRES HARVESTED,1,1
2017,17,Vermilion,VERMILION,183,PUMPKINS - ACRES HARVESTED,1,1
2017,17,Clark,CLARK,023,PUMPKINS - ACRES HARVESTED,1,1
2017,17,Clay,CLAY,025,PUMPKINS - ACRES HARVESTED,1,1
2017,17,Coles,COLES,029,PUMPKINS - ACRES HARVESTED,1,1
2017,17,Cumberland,CUMBERLAND,035,PUMPKINS - ACRES HARVESTED,1,1
2017,17,Douglas,DOUGLAS,041,PUMPKINS - ACRES HARVESTED,6,6
2017,17,Edgar,EDGAR,045,PUMPKINS - ACRES HARVESTED,1,1
2017,17,Fayette,FAYETTE,051,PUMPKINS - ACRES HARVESTED,40,40
2017,17,Lawrence,LAWRENCE,101,PUMPKINS - ACRES HARVESTED,1,1
2017,17,Marion,MARION,121,PUMPKINS - ACRES HARVESTED,1,1
2017,17,Moultrie,MOULTRIE,139,PUMPKINS - ACRES HARVESTED,759,759
2017,17,Richland,RICHLAND,159,PUMPKINS - ACRES HARVESTED,1,1
2017,17,Shelby,SHELBY,173,PUMPKINS - ACRES HARVESTED,11,11
2017,17,Boone,BOONE,007,PUMPKINS - ACRES HARVESTED,26,26
2017,17,Cook,COOK,031,PUMPKINS - ACRES HARVESTED,43,43
2017,17,DeKalb,DE KALB,037,PUMPKINS - ACRES HARVESTED,74,74
2017,17,DuPage,DU PAGE,043,PUMPKINS - ACRES HARVESTED,7,7
2017,17,Grundy,GRUNDY,063,PUMPKINS - ACRES HARVESTED,44,44
2017,17,Kane,KANE,089,PUMPKINS - ACRES HARVESTED,149,149
2017,17,Kendall,KENDALL,093,PUMPKINS - ACRES HARVESTED,55,55
2017,17,LaSalle,LA SALLE,099,PUMPKINS - ACRES HARVESTED,125,125
2017,17,Lake,LAKE,097,PUMPKINS - ACRES HARVESTED,43,43
2017,17,McHenry,MCHENRY,111,PUMPKINS - ACRES HARVESTED,122,122
2017,17,Will,WILL,197,PUMPKINS - ACRES HARVESTED,94,94
2017,17,Bureau,BUREAU,011,PUMPKINS - ACRES HARVESTED,1,1
2017,17,Carroll,CARROLL,015,PUMPKINS - ACRES HARVESTED,1,1
2017,17,Henry,HENRY,073,PUMPKINS - ACRES HARVESTED,124,124
2017,17,Jo Daviess,JO DAVIESS,085,PUMPKINS - ACRES HARVESTED,1,1
2017,17,Lee,LEE,103,PUMPKINS - ACRES HARVESTED,4,4
2017,17,Mercer,MERCER,131,PUMPKINS - ACRES HARVESTED,1,1
2017,17,Ogle,OGLE,141,PUMPKINS - ACRES HARVESTED,16,16
2017,17,Putnam,PUTNAM,155,PUMPKINS - ACRES HARVESTED,1,1
2017,17,Rock Island,ROCK ISLAND,161,PUMPKINS - ACRES HARVESTED,41,41
2017,17,Stephenson,STEPHENSON,177,PUMPKINS - ACRES HARVESTED,5,5
2017,17,Whiteside,WHITESIDE,195,PUMPKINS - ACRES HARVESTED,1,1
2017,17,Winnebago,WINNEBAGO,201,PUMPKINS - ACRES HARVESTED,32,32
2017,17,Franklin,FRANKLIN,055,PUMPKINS - ACRES HARVESTED,4,4
